Subject-ID,Label,One Hot,Binary Label,One Hot,CH26_A-PEAK,CH26_A-P2P,CH26_A-RMS,CH26_A-MLocMaxV,CH26_A-MINLocMinV,CH26_A-MAV,CH26_A-MAVFD,CH26_A-MAVFDN,CH26_A-MAVSD,CH26_A-MAVSDN,CH26_F-zc,CH26_F-fmode,CH26_F-bw,CH26_F-cf,CH26_F-fmean,CH26_F-fmed,CH26_S-median,CH26_S-freqpond,CH26_S-area,CH26_S-areapond,CH26_S-me,CH26_S-sd,CH26_E-Aprox,CH26_E-Fuzzy,CH26_E-Sample,CH26_E-Shannon,CH26_E-Spectral,CH26_L-pldf,CH26_L-ldf,CH26_V-var,CH26_V-std,CH26_V-range,CH26_V-intrange,CH26_Sim-cohe_F_median,CH26_Sim-cohe_mean,CH26_Sim-cohe_pond_mean,CH26_Sim-cohe_areapond,CH26_Sim-corr,CH26_Sim-MutInfo,CH25_meanRR,CH25_rmssd,CH25_slopeRR
20120713-09_w_21,level_one,1,level_four,1,15,1.007,14.56298497,14.56057572,14.56006005,14.55810508,0.003316406,0.00879593,0.005568028,0.014767789,0,0,0,0,0.1,2.77E-11,132,130.7874076,38.0724228,0.013515237,0.395490925,0.0224741,0.004943344,0.005440965,0.003992122,5.988493563,1.48E-10,1.17E+11,0.998760297,0.142158204,0.37703873,1.007,0.8115,255,0.983518072,127.7769701,252.0005706,0.962236817,8.907191852,0.699841536,0.694875935,0.008705357
20120713-09_w_21,level_zero,0,level_zero,0,14.595,0.446,14.34347159,14.3439099,14.3392419,14.34310224,0.00337358,0.032768282,0.005780107,0.056143381,0,0,0,0,0.1,2.27E-11,131,130.4396653,38.18625442,0.013555646,0.10731867,0.008546303,0.026361269,0.031293203,0.026820635,5.831073265,1.04E-10,4.68E+11,0.995875761,0.010599236,0.102952591,0.446,0.1525,255,0.985814995,127.7953538,252.6101183,0.982073586,8.434579064,0.724338379,0.711751038,-0.001395089
20120713-09_w_21,level_two,2,level_four,1,13.862,0.16,13.77687188,13.77912773,13.77509912,13.77680227,0.003068182,0.070043837,0.005294494,0.120868542,0,0,0,0,0.1,1.76E-11,131,130.5395767,37.84865844,0.013435803,0.043413205,0.007590429,0.05735539,0.066848219,0.055801995,4.880832156,7.94E-11,3.70E+11,0.994390597,0.001918767,0.043803737,0.16,0.078,255,0.985935637,127.8458844,252.5831616,0.845081608,6.991318135,0.809665428,0.800648202,-0.011049107
20120713-09_w_21,level_one,1,level_four,1,13.627,0.308,13.43833225,13.43989834,13.43596017,13.43799965,0.002978338,0.031495356,0.00509627,0.053892082,0,0,0,0,0.1,1.62E-11,132,130.6071555,37.80369566,0.013419842,0.09913615,0.004066578,0.021198514,0.024733175,0.017767424,5.488024863,7.22E-11,67977367311,0.997451021,0.008942417,0.094564355,0.308,0.1675,255,0.98666826,127.8551708,252.7051584,0.950662453,7.870151943,0.751249496,0.736902576,0.003013393
20120713-09_w_21,level_zero,0,level_zero,0,13.279,0.064,13.24483271,13.24717884,13.24272459,13.24482322,0.002860795,0.180366508,0.004900888,0.308989611,0,0,0,0,0.1,1.57E-11,132,130.743619,37.96024964,0.013475417,0.016170069,0.000939814,0.197505407,0.204341289,0.185830897,3.992431692,7.16E-11,55050592936,0.974201962,0.000251572,0.015861013,0.064,0.03,256,0.98680541,127.9669606,252.6802581,0.132647384,5.713887042,0.728272114,0.713368209,0.016183036
20120713-09_w_21,level_one,1,level_four,1,13.202,0.08,13.15848991,13.16090198,13.15610383,13.1584732,0.002770952,0.132117309,0.00477016,0.22743835,0,0,0,0,0.1,1.39E-11,133,131.4103405,38.09343198,0.013522695,0.021470025,0.001575311,0.135762671,0.146474002,0.133538445,4.306010134,6.18E-11,34910377381,0.985991119,0.000439884,0.020973419,0.08,0.036,255,0.987050518,127.8243881,252.9163127,0.241315578,6.163445204,0.740664871,0.72914271,0.019880022
20120713-09_w_21,level_zero,0,level_zero,0,13.389,0.218,13.31142801,13.3131427,13.30810865,13.31123323,0.002895952,0.040207631,0.004954174,0.068784159,0,0,0,0,0.1,1.60E-11,132,130.7331488,38.09886445,0.013524624,0.074875208,0.008414238,0.030158761,0.029053312,0.025715262,4.743278996,7.14E-11,14435477915,0.997926652,0.00518759,0.072024927,0.218,0.1385,255,0.986603322,127.8769194,252.7484463,0.734981382,6.801941381,0.746760112,0.725691975,-0.009151786
20120713-09_w_21,level_two,2,level_four,1,13.249,0.112,13.1867177,13.18847758,13.18465579,13.18667838,0.002771307,0.086043018,0.00475524,0.147639799,0,0,0,0,0.1,1.39E-11,132,130.6435288,37.84941317,0.013436071,0.033674203,0.000726266,0.072476794,0.082934684,0.068965029,4.605581932,6.19E-11,36519518613,0.99233756,0.00103738,0.032208387,0.112,0.061,256,0.987619242,127.9495363,252.9538398,0.97897989,6.596345927,0.744795039,0.729882335,-0.005440848
20120713-09_w_21,level_four,4,level_four,1,13.819,0.834,13.22125877,13.22642397,13.2168767,13.21973411,0.002854403,0.014213914,0.004876732,0.024284391,0,0,0,0,0.1,2.44E-11,133,131.2428034,38.27542363,0.0135873,0.208225857,0.020983172,0.009778603,0.011002922,0.008784238,5.732439652,1.39E-10,2.85E+11,0.99765741,0.040327688,0.200817549,0.845,0.211,255,0.985640553,127.7678443,252.5308879,0.796665457,8.562495109,0.686383635,0.664531852,-0.014299665
20120713-09_w_21,level_three,3,level_four,1,13.231,0.119,13.15640198,13.15814115,13.15405148,13.15637771,0.00281392,0.111313505,0.004834103,0.191228202,0,0,0,0,0.1,1.45E-11,131,130.4269335,37.72183049,0.013390781,0.025665808,0.002130426,0.097181082,0.112637697,0.089887615,4.422335732,6.45E-11,30391697418,0.987079448,0.00063904,0.025279237,0.119,0.026,255,0.985250273,127.8301495,252.4159932,0.526443165,6.352440155,0.761738133,0.743868584,0.014229911
20120713-09_w_21,level_four,4,level_four,1,12.89,0.087,12.8547699,12.85705066,12.85263566,12.85475009,0.002694957,0.119403826,0.004606394,0.204092692,0,0,0,0,0.1,1.27E-11,131,130.1596095,37.64020204,0.013361804,0.022881261,0.003315839,0.102516632,0.117161825,0.090013512,4.209662582,5.47E-11,48728804737,0.987295905,0.00050941,0.022570109,0.087,0.0405,255,0.985177987,127.8153059,252.4462781,0.823546644,6.027994945,0.665245617,0.656219917,-0.01297433
20120713-09_w_21,level_two,2,level_four,1,12.851,0.168,12.75897863,12.76122258,12.75721277,12.75889812,0.002619673,0.057786966,0.004545293,0.100263914,0,0,0,0,0.1,1.16E-11,132,130.2905403,37.66909851,0.013372062,0.047468866,0.001168819,0.04870161,0.05638875,0.048520856,5.028585337,5.03E-11,53360823348,0.995199736,0.002055107,0.04533329,0.168,0.081,255,0.98673971,127.839355,252.8063525,0.983973483,7.224254741,0.744662299,0.727747905,0.00844029
20120713-09_w_21,level_two,2,level_four,1,12.471,0.059,12.44252005,12.4444838,12.44060647,12.44251438,0.002469105,0.207774093,0.004228774,0.355849479,0,0,0,0,0.1,1.04E-11,131,130.7573647,37.72085887,0.013390436,0.012087952,0.000370557,0.269065208,0.250966259,0.253307222,3.821212958,4.54E-11,16083727924,0.962600176,0.00014122,0.011883604,0.059,0.015,255,0.985827784,127.820606,252.5849309,0.827242172,5.465450673,0.765780719,0.743197456,-0.011607143
20120713-09_w_21,level_two,2,level_four,1,12.35,0.034,12.33818827,12.34030122,12.33620175,12.33818708,0.002525213,0.464872308,0.004378686,0.806082351,0,0,0,0,0.1,1.02E-11,131,130.4015546,37.60981663,0.013351018,0.00489709,0.000828409,0.77327177,0.549478081,0.686205759,2.804338769,4.12E-11,23462037160,0.82536311,2.95E-05,0.005432057,0.034,0.004,256,0.987265665,127.8699539,252.9686603,0.606418359,3.999121298,0.71787849,0.705790431,-0.001897321
20120713-09_w_21,level_three,3,level_four,1,12.411,0.116,12.35981447,12.36193215,12.3581469,12.35978168,0.002564986,0.090087834,0.004422735,0.155336006,0,0,0,0,0.1,1.23E-11,132,130.7440445,37.85674917,0.013438676,0.029631514,0.001173729,0.081109489,0.08931502,0.077436014,4.580404939,5.44E-11,65024267060,0.990914279,0.000810658,0.028472055,0.116,0.037,256,0.988529538,128.0299305,253.1746463,0.966120891,6.564551032,0.726566196,0.708266803,-0.001046317
20120713-09_w_21,level_one,1,level_four,1,12.189,0.088,12.14053012,12.14232183,12.13883352,12.14050941,0.002393821,0.106730156,0.004105506,0.183046816,0,0,0,0,0.1,1.02E-11,131,129.8267103,37.42168079,0.013284232,0.0233483,0.000894301,0.094792903,0.113209303,0.094867289,4.362854586,4.46E-11,62300662313,0.989024991,0.000503048,0.022428722,0.088,0.037,256,0.987402735,127.8932897,252.9152645,0.975918833,6.249714265,0.710748365,0.688930753,0.002162388
20120713-09_w_21,level_zero,0,level_zero,0,12.085,0.044,12.06167149,12.06361254,12.05988377,12.06166702,0.002379972,0.229074771,0.004090586,0.393723223,0,0,0,0,0.1,9.78E-12,131,130.4570435,37.75603033,0.013402922,0.010632547,0.000241902,0.351036324,0.278809645,0.321552239,3.634779005,4.16E-11,26054816233,0.956231611,0.000107942,0.010389497,0.044,0.018,255,0.987905686,127.9499544,252.9804066,0.963579396,5.200743185,0.723218633,0.711563818,-0.013727679
20120713-09_w_21,level_one,1,level_four,1,12.041,0.041,12.01880258,12.02062668,12.01703807,12.01879837,0.002282315,0.226679444,0.003898046,0.387153749,0,0,0,0,0.1,1.01E-11,132,130.4132109,37.50735165,0.013314644,0.010293295,0.000274748,0.30761142,0.265296891,0.279543112,3.576033843,4.72E-11,20050805435,0.957196824,0.000101374,0.010068471,0.041,0.017,255,0.987930835,127.8579355,253.1219879,0.948990211,5.114571881,0.747834218,0.728521984,-0.007087054
20120713-09_w_21,level_zero,0,level_zero,0,12.004,0.041,11.98347251,11.98503563,11.98139602,11.98346858,0.002337713,0.24085684,0.004034103,0.415637538,0,0,0,0,0.1,9.54E-12,131,130.0576319,37.66948159,0.013372198,0.00991971,0.00014838,0.334831082,0.296078956,0.313818058,3.559757043,4.09E-11,16445362194,0.951544709,9.42E-05,0.00970582,0.041,0.017,256,0.988121086,128.0150408,253.0667262,0.956232221,5.088959496,0.755578708,0.731116368,0.008482143
20120713-09_w_21,level_two,2,level_four,1,11.958,0.044,11.93585506,11.93767156,11.93401998,11.93585055,0.002380682,0.22937627,0.004083837,0.393473498,0,0,0,0,0.1,9.35E-12,131,130.1075365,37.76325727,0.013405487,0.010642036,0.000106464,0.34486987,0.280709622,0.324977844,3.666674997,3.80E-11,25646132731,0.955826032,0.000107722,0.010378937,0.044,0.017,256,0.987836017,127.8773779,253.0621849,0.967419004,5.243209498,0.750477137,0.726984772,0.006361607
20120713-09_w_21,level_four,4,level_four,1,12.232,0.31,12.00291316,12.00481126,11.99990536,12.00267803,0.002276634,0.030297339,0.003918295,0.052144496,0,0,0,0,0.1,9.75E-12,131,130.1868093,37.5582284,0.013332704,0.078008044,0.009956271,0.014854523,0.018441321,0.009151674,4.961206894,4.50E-11,4.10E+11,0.996807767,0.005646473,0.075143019,0.31,0.109,255,0.987954124,127.8316364,253.1483077,0.930522832,7.143051342,0.681415565,0.666850221,-0.029366629
20120713-09_w_21,level_three,3,level_four,1,12.548,0.172,12.44681353,12.44844972,12.44417079,12.44674973,0.002488991,0.062444186,0.004245115,0.106502084,0,0,0,0,0.1,1.38E-11,131,130.3917977,37.79782424,0.013417758,0.039117599,0.009389454,0.056804681,0.063213938,0.056888622,4.959172245,6.91E-11,91253223216,0.996813809,0.001588776,0.039859459,0.172,0.063,255,0.986934873,127.9044728,252.8200151,0.11052511,7.108902271,0.738193792,0.720466659,0.000948661
20120713-09_w_21,level_four,4,level_four,1,12.565,0.146,12.4656169,12.46730658,12.46287698,12.4655765,0.002552912,0.080426655,0.004368028,0.137609884,0,0,0,0,0.1,1.32E-11,131,130.4651228,37.81957184,0.013425478,0.031571528,0.007581849,0.070366932,0.079151142,0.068963104,4.576232912,6.22E-11,1.56E+11,0.992767404,0.001007562,0.031742113,0.149,0.051,256,0.988697782,127.9354122,253.3080085,0.769925172,6.615434305,0.693053003,0.676258255,-0.013392857
20120713-09_w_21,level_three,3,level_four,1,13.073,0.107,13.00640358,13.00894211,13.00422973,13.00637274,0.002726918,0.09624989,0.004630195,0.163428406,0,0,0,0,0.1,1.51E-11,131,129.8479088,37.76579216,0.013406387,0.026556415,0.009641564,0.091160049,0.096004966,0.084704796,4.449666797,7.12E-11,38468351959,0.991254462,0.000802682,0.028331644,0.107,0.048,255,0.985505438,127.8701356,252.4250469,0.7288555,6.376377762,0.685734635,0.679224745,0.011579241
20120713-09_w_21,level_three,3,level_four,1,12.892,0.156,12.79006855,12.79208801,12.78820961,12.7899819,0.00264098,0.056084571,0.00457762,0.097211579,0,0,0,0,0.1,1.10E-11,132,130.5131335,37.63240208,0.013359035,0.049216865,0.002441805,0.032314852,0.036962643,0.022325825,4.608486489,4.52E-11,14631877128,0.995888178,0.002217397,0.047089246,0.156,0.0855,255,0.987095538,127.9265111,252.8360072,0.912843537,6.605506143,0.678140728,0.666594923,-6.98E-05
20120713-09_w_21,level_three,3,level_four,1,12.816,0.105,12.77197969,12.77405524,12.76962912,12.77194959,0.002568537,0.092618404,0.004376199,0.157800558,0,0,0,0,0.1,1.11E-11,131,130.0282967,37.57715126,0.013339422,0.028906967,0.00144595,0.076519019,0.089719159,0.07018399,4.43263015,4.90E-11,26157868316,0.991270026,0.00076909,0.027732468,0.105,0.0445,255,0.987547145,127.9225461,252.977912,0.984257956,6.347539225,0.684529644,0.67079511,0.002441406
20120713-09_w_21,level_three,3,level_four,1,12.998,0.127,12.92971474,12.93143961,12.92645384,12.92968158,0.002684659,0.091658946,0.004627353,0.157985922,0,0,0,0,0.1,1.10E-11,131,129.9710292,37.692003,0.013380193,0.028419485,0.005756849,0.082954745,0.093924286,0.081333623,4.675907336,4.53E-11,1.23E+11,0.992896767,0.000857884,0.029289657,0.127,0.04,255,0.98765426,127.8784318,253.0623041,0.275764911,6.701353915,0.66622453,0.652984561,-0.003417969
20120713-09_w_21,level_four,4,level_four,1,12.905,0.525,12.66718206,12.66711706,12.6616875,12.66551899,0.002648082,0.01289909,0.004498401,0.021912191,0,0,0,0,0.1,2.16E-11,131,130.6516744,37.80380203,0.01341988,0.213202589,0.026255012,0.004600717,0.006332943,0.003384562,5.062362893,1.23E-10,99532834601,0.999589375,0.04214488,0.205292181,0.525,0.418,256,0.986192562,127.8988626,252.6477687,0.871622078,7.63750778,0.659850682,0.641761949,-0.007952009
